Date,Company,Adj Close
29-06-2010,Tesla,4.778
30-06-2010,Tesla,4.766
01-07-2010,Tesla,4.392
02-07-2010,Tesla,3.84
06-07-2010,Tesla,3.222
07-07-2010,Tesla,3.16
08-07-2010,Tesla,3.492
09-07-2010,Tesla,3.48
12-07-2010,Tesla,3.41
13-07-2010,Tesla,3.628
14-07-2010,Tesla,3.968
15-07-2010,Tesla,3.978
16-07-2010,Tesla,4.128
19-07-2010,Tesla,4.382
20-07-2010,Tesla,4.06
21-07-2010,Tesla,4.044
22-07-2010,Tesla,4.2
23-07-2010,Tesla,4.258
26-07-2010,Tesla,4.19
27-07-2010,Tesla,4.11
28-07-2010,Tesla,4.144
29-07-2010,Tesla,4.07
30-07-2010,Tesla,3.988
02-08-2010,Tesla,4.184
03-08-2010,Tesla,4.39
04-08-2010,Tesla,4.252
05-08-2010,Tesla,4.09
06-08-2010,Tesla,3.918
09-08-2010,Tesla,3.92
10-08-2010,Tesla,3.806
11-08-2010,Tesla,3.58
12-08-2010,Tesla,3.52
13-08-2010,Tesla,3.664
16-08-2010,Tesla,3.756
17-08-2010,Tesla,3.83
18-08-2010,Tesla,3.754
19-08-2010,Tesla,3.758
20-08-2010,Tesla,3.82
23-08-2010,Tesla,4.026
24-08-2010,Tesla,3.84
25-08-2010,Tesla,3.98
26-08-2010,Tesla,3.95
27-08-2010,Tesla,3.94
30-08-2010,Tesla,3.974
31-08-2010,Tesla,3.896
01-09-2010,Tesla,4.09
02-09-2010,Tesla,4.212
03-09-2010,Tesla,4.21
07-09-2010,Tesla,4.108
08-09-2010,Tesla,4.18
09-09-2010,Tesla,4.142
10-09-2010,Tesla,4.034
13-09-2010,Tesla,4.144
14-09-2010,Tesla,4.224
15-09-2010,Tesla,4.396
16-09-2010,Tesla,4.188
17-09-2010,Tesla,4.046
20-09-2010,Tesla,4.212
21-09-2010,Tesla,4.154
22-09-2010,Tesla,3.974
23-09-2010,Tesla,3.912
24-09-2010,Tesla,4.02
27-09-2010,Tesla,4.106
28-09-2010,Tesla,4.28
29-09-2010,Tesla,4.396
30-09-2010,Tesla,4.082
01-10-2010,Tesla,4.12
04-10-2010,Tesla,4.198
05-10-2010,Tesla,4.224
06-10-2010,Tesla,4.092
07-10-2010,Tesla,4.086
08-10-2010,Tesla,4.086
11-10-2010,Tesla,4.048
12-10-2010,Tesla,4.048
13-10-2010,Tesla,4.108
14-10-2010,Tesla,4.15
15-10-2010,Tesla,4.108
18-10-2010,Tesla,4.046
19-10-2010,Tesla,4.01
20-10-2010,Tesla,4.13
21-10-2010,Tesla,4.15
22-10-2010,Tesla,4.144
25-10-2010,Tesla,4.17
26-10-2010,Tesla,4.272
27-10-2010,Tesla,4.2
28-10-2010,Tesla,4.238
29-10-2010,Tesla,4.368
01-11-2010,Tesla,4.282
02-11-2010,Tesla,4.25
03-11-2010,Tesla,4.354
